Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00001727,Toothbrush 4000,2022-04-25 21:57:32.176454400,15,9,IP13%207PT,DH3 1DQ,1,Dispatched,2022-04-26 04:50:48.474211200,Delivered,2022-04-27 06:47:58.116627600
BRU00001681,Toothbrush 2000,2022-03-16 06:31:02.062253600,79,9,IP21%204WZ,DN1 2NW,1,Dispatched,2022-03-16 13:11:31.541682800,Delivered,2022-03-17 17:02:25.584230000
BRU00005024,Toothbrush 4000,2021-07-19 13:55:18.011731600,35,9,EN8%200TN,HP4 2EN,1,Dispatched,2021-07-19 20:11:33.095902000,Delivered,2021-07-20 23:42:23.445772000
BRU00002963,Toothbrush 2000,2021-04-14 09:01:11.958272000,62,6,CV6%201JW,CA15 8AG,1,Dispatched,2021-04-14 15:46:30.361598000,Delivered,2021-04-15 17:34:54.081411200
BRU00002644,Toothbrush 2000,2021-02-02 13:49:39.101562800,90,4,HP10%208JN,AL3 8QA,1,Dispatched,2021-02-02 21:22:58.815357200,Delivered,2021-02-03 23:42:02.380866800
BRU00000081,Toothbrush 4000,2021-03-22 04:16:29.749441200,19,6,CM5%200BD,DN3 3LQ,1,Dispatched,2021-03-22 11:37:38.502240000,Delivered,2021-03-23 12:08:49.312918800
BRU00001473,Toothbrush 2000,2021-01-21 05:02:13.422792000,78,8,B66%201EG,CV7 9FN,1,Dispatched,2021-01-21 12:24:08.849648400,Delivered,2021-01-22 11:33:55.839332400
BRU00002558,Toothbrush 4000,2021-05-22 19:35:04.386393200,18,9,DN12%204HL,FY8 5PY,1,Dispatched,2021-05-23 02:45:00.939120800,Delivered,2021-05-24 08:20:25.740614000
BRU00001051,Toothbrush 4000,2021-08-25 10:41:09.979985600,12,7,GL4%205YZ,DE65 5JA,1,Dispatched,2021-08-25 17:24:21.776045600,Delivered,2021-08-26 22:52:26.758688000
BRU00004670,Toothbrush 2000,2022-11-18 18:06:30.097055999,74,7,CF14%200RX,CF45 4AF,1,Dispatched,2022-11-19 00:50:14.575247999,Delivered,2022-11-20 03:05:53.752067999
BRU00004784,Toothbrush 4000,2022-05-22 20:49:20.964782400,25,5,CR5%202PU,AB51 4TT,1,Dispatched,2022-05-23 04:31:21.337141200,Delivered,2022-05-24 01:43:55.895064000
BRU00000492,Toothbrush 2000,2021-01-08 03:25:37.154172400,54,8,HR7%204AW,G71 5AE,1,Dispatched,2021-01-08 11:17:17.494742800,Delivered,2021-01-09 17:33:06.443982400
BRU00000350,Toothbrush 4000,2021-11-09 13:50:22.240938000,18,4,DD3%200PL,BA14 8SE,1,Dispatched,2021-11-09 20:23:01.684336800,Delivered,2021-11-11 12:44:24.594351600
BRU00003057,Toothbrush 4000,2021-03-15 13:40:14.010339600,17,6,B74%204HX,CM16 6PS,1,Dispatched,2021-03-15 21:41:50.799352800,Delivered,2021-03-16 22:42:50.474115600
BRU00000694,Toothbrush 4000,2021-11-17 18:47:21.073161200,11,9,GL1%201TS,GU7 3BQ,1,Dispatched,2021-11-18 01:51:44.047016000,Delivered,2021-11-19 08:41:10.089086000
BRU00001250,Toothbrush 2000,2021-02-14 00:54:24.650601200,64,5,CO2%208YH,BA4 4QU,1,Dispatched,2021-02-14 07:46:51.533724800,Delivered,2021-02-15 11:22:50.356758799
BRU00001240,Toothbrush 4000,2022-08-06 17:51:19.892724000,36,4,CR0%201TF,HR1 3DT,1,Dispatched,2022-08-07 01:15:33.041551200,Delivered,2022-08-08 10:40:24.482898000
BRU00001982,Toothbrush 4000,2021-02-24 07:27:06.164274400,26,3,G43%202QJ,AB41 7TS,1,Dispatched,2021-02-24 14:31:16.611212800,Delivered,2021-02-25 20:11:43.920918400
BRU00003661,Toothbrush 2000,2021-06-20 00:58:20.405267200,69,4,EX23%209LH,AB12 5UQ,1,Dispatched,2021-06-20 08:22:27.876998800,Delivered,2021-06-21 04:46:09.247780000
BRU00001086,Toothbrush 2000,2021-09-30 22:26:50.584733200,53,8,IM1%205EN,G74 3UG,1,Dispatched,2021-10-01 06:01:31.181768799,Delivered,2021-10-02 06:44:44.480547999
BRU00000955,Toothbrush 2000,2021-12-08 08:46:19.500564800,71,4,B30%209FW,BA3 5FJ,1,Dispatched,2021-12-08 15:38:18.503315600,Delivered,2021-12-09 18:41:44.792171600
BRU00000429,Toothbrush 2000,2022-07-21 21:51:24.816383200,61,4,IP23%208LR,CT3 1RQ,1,Dispatched,2022-07-22 04:16:44.595824800,Delivered,2022-07-22 23:07:16.411522000
BRU00005520,Toothbrush 4000,2022-11-13 10:12:04.248893200,36,8,AB54%207LN,CM3 3BU,1,Dispatched,2022-11-13 16:56:21.867666400,Delivered,2022-11-14 17:42:11.016612400
BRU00005560,Toothbrush 2000,2021-01-26 12:19:52.865448800,63,8,HA7%201HB,CM1 2WB,1,Dispatched,2021-01-26 20:12:21.362884400,Delivered,2021-01-27 21:21:05.827023200
BRU00000465,Toothbrush 4000,2021-03-12 08:20:26.703624800,50,9,CT10%202JF,HP2 6LD,1,Dispatched,2021-03-12 15:51:25.598242400,Delivered,2021-03-13 20:17:52.850219600
BRU00002468,Toothbrush 2000,2022-06-17 13:51:20.839196400,52,1,EH21%208BD,EH7 4ET,1,Dispatched,2022-06-17 20:52:18.682279200,Delivered,2022-06-18 21:22:19.486450800
BRU00004667,Toothbrush 4000,2021-04-21 16:59:35.146608400,23,5,DH8%205RB,BH10 7DJ,1,Dispatched,2021-04-22 00:07:40.225631200,Delivered,2021-04-23 03:56:21.118063600
BRU00005199,Toothbrush 4000,2021-01-18 18:15:06.254249600,17,7,CB10%202EJ,CF48 4AE,1,Dispatched,2021-01-19 00:21:30.328144400,Delivered,2021-01-20 02:09:34.349189600
BRU00005230,Toothbrush 2000,2022-03-02 11:18:35.438165200,65,3,EX38%208EP,B21 0HE,1,Dispatched,2022-03-02 18:15:20.924124400,Delivered,2022-03-04 01:50:42.182515600
BRU00003720,Toothbrush 2000,2022-09-23 17:59:43.933531200,81,8,HR8%201PT,G40 1DN,1,Dispatched,2022-09-24 00:42:53.306697600,Delivered,2022-09-25 05:39:24.632913600
BRU00000623,Toothbrush 2000,2021-08-29 03:25:51.824164800,46,4,HA0%202QY,DT2 7EE,1,Dispatched,2021-08-29 11:24:36.018943200,Delivered,2021-08-30 13:38:25.374127200
BRU00001345,Toothbrush 4000,2022-08-03 02:37:25.836309200,23,1,DH3%202BH,HU15 2LL,1,Dispatched,2022-08-03 09:27:17.224694000,Delivered,2022-08-04 12:08:24.862017200
BRU00003735,Toothbrush 4000,2021-09-03 17:10:24.547514400,33,8,CH2%204LN,DT10 2HE,1,Dispatched,2021-09-03 23:02:48.193935600,Delivered,2021-09-04 22:15:07.489521600
BRU00001137,Toothbrush 4000,2022-07-25 22:01:31.432565200,27,4,AL2%201GF,G66 8EX,1,Dispatched,2022-07-26 05:20:23.252466400,Delivered,2022-07-27 07:02:34.121741200
BRU00005609,Toothbrush 2000,2021-02-26 14:09:40.547058000,76,6,AB31%204GN,IM4 4LG,1,Dispatched,2021-02-26 20:39:00.297409200,Delivered,2021-02-28 02:06:05.587468800
BRU00001691,Toothbrush 2000,2022-03-04 06:58:13.945854400,56,7,DN33%203RF,CF40 1EJ,1,Dispatched,2022-03-04 15:00:12.061858000,Delivered,2022-03-05 18:51:49.321386400
BRU00003029,Toothbrush 4000,2022-02-28 02:23:00.656076800,15,9,G12%200TW,DD10 9RB,1,Dispatched,2022-02-28 10:34:01.859249600,Delivered,2022-03-01 11:22:54.734667200
BRU00004792,Toothbrush 4000,2022-03-17 07:03:19.734826799,29,4,G33%202BA,EN3 6FY,1,Dispatched,2022-03-17 15:00:30.506285999,Delivered,2022-03-18 21:55:23.002954799
BRU00004673,Toothbrush 4000,2021-03-07 06:39:04.087809600,27,7,GL52%203BE,DE6 4NX,1,Dispatched,2021-03-07 12:51:21.807884400,Delivered,2021-03-08 16:18:50.659357200
BRU00004138,Toothbrush 4000,2022-09-03 01:53:53.729572000,25,3,CB4%202LF,IP29 4UY,1,Dispatched,2022-09-03 10:01:55.873277200,Delivered,2022-09-04 11:05:30.984642400
BRU00005621,Toothbrush 4000,2021-02-14 14:25:53.111794800,40,5,CV4%209UR,DD7 7LB,1,Dispatched,2021-02-14 21:21:10.165042800,Delivered,2021-02-16 03:34:49.353333600
BRU00001415,Toothbrush 4000,2022-05-03 18:50:53.723893600,19,6,B77%201BL,EX21 5XY,1,Dispatched,2022-05-04 01:49:09.503454400,Delivered,2022-05-05 04:49:49.451538400
BRU00002750,Toothbrush 2000,2022-11-09 20:49:18.127735200,73,6,FY6%207AT,BN21 1JF,1,Dispatched,2022-11-10 04:02:18.122250000,Delivered,2022-11-11 10:19:01.906765199
BRU00000485,Toothbrush 2000,2021-06-16 10:25:35.836781600,62,7,cm120yf,gl156lb,1,Dispatched,2021-06-16 17:49:12.056700800,Delivered,2021-06-17 23:08:40.751164400
BRU00001873,Toothbrush 2000,2021-09-29 21:56:16.861452400,79,8,dn215re,ip190et,1,Dispatched,2021-09-30 04:55:03.277639600,Delivered,2021-10-01 12:18:10.585192000
BRU00002066,Toothbrush 4000,2022-02-12 07:13:14.474989600,33,9,bn161aq,bl40bu,1,Dispatched,2022-02-12 15:58:09.190412800,Delivered,2022-02-13 18:13:10.559705200
BRU00000066,Toothbrush 2000,2022-11-02 13:41:45.812337200,75,3,dn174hj,ct119ua,1,Dispatched,2022-11-02 21:12:31.233116000,Delivered,2022-11-04 02:50:35.681508800
BRU00001765,Toothbrush 4000,2022-09-18 08:02:19.592095200,28,5,dl37hg,b762tx,1,Dispatched,2022-09-18 15:21:11.522080800,Delivered,2022-09-19 15:13:32.982164400
BRU00003347,Toothbrush 4000,2021-09-06 09:33:25.892593600,24,3,b782ey,b388aj,1,Dispatched,2021-09-06 17:15:22.459748800,Delivered,2021-09-07 15:21:03.079141600
BRU00002623,Toothbrush 4000,2021-02-27 09:58:36.918466400,35,2,gl76nx,ca222qw,1,Dispatched,2021-02-27 16:54:52.369352000,Delivered,2021-02-28 15:05:27.239622800
BRU00003363,Toothbrush 4000,2022-04-03 03:45:55.272385600,21,9,fy55pe,gu236xe,1,Dispatched,2022-04-03 11:36:23.795022400,Delivered,2022-04-04 15:23:23.167962400
BRU00005423,Toothbrush 4000,2022-04-29 01:54:31.157211600,35,1,g745ha,ha88hq,1,Dispatched,2022-04-29 08:53:40.193350800,Delivered,2022-04-30 05:45:50.013313200
BRU00004297,Toothbrush 2000,2022-07-02 10:58:07.992277200,73,8,eh496rn,b755eq,1,Dispatched,2022-07-02 18:29:13.290988799,Delivered,2022-07-03 23:46:20.804529599
BRU00001859,Toothbrush 2000,2022-09-05 07:15:41.212010400,74,7,bs351ub,gy79qp,1,Dispatched,2022-09-05 14:23:54.308701199,Delivered,2022-09-06 20:12:53.998814399
BRU00004238,Toothbrush 2000,2021-07-14 15:51:50.342941600,65,4,bh88ej,ab338eq,1,Dispatched,2021-07-14 22:33:33.947580400,Delivered,2021-07-16 02:53:47.607743200
BRU00003049,Toothbrush 4000,2021-11-12 21:31:37.416116400,6,1,dh86sb,de117bj,1,Dispatched,2021-11-13 04:46:56.258224799,Delivered,2021-11-14 06:17:38.538525599
BRU00000774,Toothbrush 2000,2022-01-01 16:07:18.476184800,70,4,cf143dz,dl84sr,1,Dispatched,2022-01-01 22:25:17.717308400,Delivered,2022-01-03 07:23:29.095793600
BRU00000419,Toothbrush 4000,2022-11-12 23:15:20.714636400,26,3,ba34gr,cm120au,1,Dispatched,2022-11-13 05:44:20.499646800,Delivered,2022-11-14 06:54:18.453253200
BRU00004120,Toothbrush 4000,2021-06-04 16:10:53.854994800,28,1,dl79rs,bb97ns,1,Dispatched,2021-06-04 23:05:54.776794000,Delivered,2021-06-06 01:21:01.769509600
BRU00003102,Toothbrush 2000,2021-07-16 22:24:33.907292800,82,5,co123ap,bs313ar,1,Dispatched,2021-07-17 05:59:50.319079600,Delivered,2021-07-18 08:25:27.940679200
BRU00001946,Toothbrush 4000,2022-04-15 00:47:53.598960000,23,4,al49et,hr74pn,1,Dispatched,2022-04-15 07:54:35.388152400,Delivered,2022-04-16 15:23:05.860436400
BRU00004109,Toothbrush 4000,2022-02-21 22:08:13.048107600,42,2,ha47xa,ab166fg,1,Dispatched,2022-02-22 04:48:03.554437200,Delivered,2022-02-23 02:23:23.344643999
BRU00004215,Toothbrush 4000,2021-04-21 19:58:02.110527600,34,8,ip257pw,e39en,1,Dispatched,2021-04-22 03:26:01.168365600,Delivered,2021-04-23 04:54:30.124880400
BRU00002591,Toothbrush 2000,2022-01-15 23:27:16.191337600,80,8,hp180ry,ex151pn,1,Dispatched,2022-01-16 06:12:51.216500800,Delivered,2022-01-17 12:22:26.967917200
BRU00003131,Toothbrush 2000,2022-06-28 13:31:39.568908400,69,5,cv49su,eh65eg,1,Dispatched,2022-06-28 20:39:09.065750800,Delivered,2022-06-30 04:52:25.580276800
BRU00001353,Toothbrush 4000,2021-11-10 02:51:24.839148400,11,8,ip200bw,ip20tz,1,Dispatched,2021-11-10 09:58:26.181622000,Delivered,2021-11-11 17:48:31.769652400
BRU00005596,Toothbrush 4000,2021-11-02 00:48:27.364753200,26,8,bn271gn,eh482dy,1,Dispatched,2021-11-02 07:14:32.762080800,Delivered,2021-11-03 10:35:36.807120000
BRU00004779,Toothbrush 2000,2022-03-26 03:27:52.171092800,75,7,da75sy,ch646aa,1,Dispatched,2022-03-26 10:49:11.201009600,Delivered,2022-03-27 07:43:55.987490000
BRU00004456,Toothbrush 4000,2022-10-18 05:46:57.007747200,25,7,cm210ay,cw114xt,1,Dispatched,2022-10-18 13:32:11.587812000,Delivered,2022-10-19 18:37:32.966162400
BRU00002898,Toothbrush 4000,2022-03-24 22:09:19.798775600,15,1,cv129dg,bl65hl,1,Dispatched,2022-03-25 05:17:45.830737999,Delivered,2022-03-26 12:25:22.592833999
BRU00000755,Toothbrush 4000,2022-10-09 04:39:42.762998800,24,4,dn67ql,cf365nf,1,Dispatched,2022-10-09 12:31:34.731760000,Delivered,2022-10-10 13:45:17.395692400
BRU00005321,Toothbrush 4000,2022-01-21 02:11:46.624424800,16,7,ct101lw,dt73xy,1,Dispatched,2022-01-21 09:17:10.754921200,Delivered,2022-01-22 16:34:52.575939999
BRU00003742,Toothbrush 2000,2022-06-30 05:19:36.318735600,71,4,e28aj,bs84ne,1,Dispatched,2022-06-30 13:30:37.597814400,Delivered,2022-07-01 12:55:20.388696000
BRU00000071,Toothbrush 4000,2022-08-13 13:52:53.337122400,28,4,ba126bh,g522ag,1,Dispatched,2022-08-13 20:24:37.151809200,Delivered,2022-08-15 08:05:58.550971200
BRU00003935,Toothbrush 4000,2021-01-03 09:28:13.506421199,24,7,cw19se,bn266aa,1,Dispatched,2021-01-03 16:19:09.332156399,Delivered,2021-01-04 14:57:32.078996399
BRU00001246,Toothbrush 2000,2022-03-02 09:21:41.349981200,81,6,ct117nx,b368px,1,Dispatched,2022-03-02 18:00:20.512842800,Delivered,2022-03-03 16:20:27.881804000
BRU00002053,Toothbrush 2000,2021-10-07 14:06:33.491036000,74,5,e111hr,g59sw,1,Dispatched,2021-10-07 21:30:43.260269600,Delivered,2021-10-09 00:44:13.607475200
BRU00003373,Toothbrush 2000,2022-04-11 22:25:28.707777200,63,4,gl543ab,ex169dq,1,Dispatched,2022-04-12 04:59:01.783349600,Delivered,2022-04-13 04:43:48.183089600
BRU00000449,Toothbrush 4000,2021-05-28 21:30:58.550420000,24,2,ch426sh,bn28gg,1,Dispatched,2021-05-29 04:11:02.546370800,Delivered,2021-05-30 12:41:59.764612400
BRU00005499,Toothbrush 4000,2022-09-29 02:49:51.340336400,31,2,ha99fw,ex198dj,1,Dispatched,2022-09-29 10:59:16.484918000,Delivered,2022-09-30 07:17:32.754412400
BRU00001142,Toothbrush 4000,2021-03-11 05:03:41.408842000,26,8,dd83fw,e65sa,1,Dispatched,2021-03-11 12:07:23.151104800,Delivered,2021-03-12 14:00:52.420432000
BRU00000165,Toothbrush 2000,2022-01-13 04:13:59.958774400,77,3,fk77ue,hr49sa,1,Dispatched,2022-01-13 11:01:13.349239600,Delivered,2022-01-14 19:15:27.239053600
BRU00003120,Toothbrush 4000,2021-10-21 17:38:33.352631200,33,9,ig61ap,br67st,1,Dispatched,2021-10-22 01:37:46.571912800,Delivered,2021-10-23 06:23:31.730608000
BRU00004344,Toothbrush 2000,2021-11-02 17:23:45.933142800,100,8,cf433pu,ab157re,1,Dispatched,2021-11-02 23:18:13.807212000,Delivered,2021-11-03 20:29:45.922364400
BRU00003900,Toothbrush 4000,2022-04-30 03:41:26.273640400,33,7,fk70qx,ch35ej,1,Dispatched,2022-04-30 10:14:32.849148400,Delivered,2022-05-01 12:25:52.802957200
BRU00001132,Toothbrush 4000,2021-04-29 07:16:16.234323200,22,9,b303nt,b289dt,1,Dispatched,2021-04-29 14:14:58.873476800,Delivered,2021-04-30 22:03:20.472818000
BRU00000316,Toothbrush 4000,2022-06-14 07:30:01.253426400,17,9,b913ga,dl159ug,1,Dispatched,2022-06-14 14:46:35.001490800,Delivered,2022-06-15 23:14:25.132844400
BRU00005280,Toothbrush 2000,2022-09-17 13:55:32.832053600,95,4,en54da,bb89np,1,Dispatched,2022-09-17 20:56:34.836340400,Delivered,2022-09-18 23:00:46.175355200
BRU00004112,Toothbrush 2000,2021-04-29 15:08:17.097900400,63,6,hp111hb,e97rf,1,Dispatched,2021-04-29 21:50:41.732192800,Delivered,2021-05-01 01:32:28.640630800
BRU00004175,Toothbrush 2000,2021-06-08 00:49:58.702702000,75,2,de221ld,ip186er,1,Dispatched,2021-06-08 08:07:10.857150400,Delivered,2021-06-09 05:16:00.319097200
BRU00004453,Toothbrush 4000,2022-06-25 14:39:47.495415200,33,3,eh89rr,dd68sj,1,Dispatched,2022-06-25 21:38:41.717626400,Delivered,2022-06-26 21:03:54.815406800
BRU00005600,Toothbrush 2000,2021-01-17 14:00:02.098632400,76,3,ch497nj,bs234jn,1,Dispatched,2021-01-17 21:35:13.313264800,Delivered,2021-01-19 03:14:50.396663200
BRU00005209,Toothbrush 4000,2021-06-20 06:24:41.115895200,39,2,ct130ln,ip221se,1,Dispatched,2021-06-20 13:25:29.830742400,Delivered,2021-06-21 15:45:32.916348000
BRU00001481,Toothbrush 2000,2022-02-04 08:44:50.934110000,72,7,bh165ez,cf448pg,1,Dispatched,2022-02-04 15:58:51.297453200,Delivered,2022-02-05 16:05:22.149716000
BRU00002825,Toothbrush 2000,2021-11-23 22:48:27.949953200,74,6,ch412rg,bn24rn,1,Dispatched,2021-11-24 05:41:46.700847200,Delivered,2021-11-25 14:38:46.182900800
BRU00005114,Toothbrush 4000,2022-06-15 09:26:20.360647600,31,6,bl21hq,dt64jf,1,Dispatched,2022-06-15 16:56:02.069357200,Delivered,2022-06-16 18:17:33.270240400
BRU00002279,Toothbrush 4000,2021-07-19 21:13:01.010198800,28,7,ch496qq,da26qy,1,Dispatched,2021-07-20 03:32:38.968686400,Delivered,2021-07-21 02:57:16.016948800
BRU00004724,Toothbrush 2000,2021-02-27 23:41:10.241932799,63,1,cm50lu,cb243by,1,Dispatched,2021-02-28 06:39:01.060195199,Delivered,2021-03-01 08:01:53.790368399
BRU00001369,Toothbrush 2000,2021-04-17 12:33:50.888705600,71,7,co12jz,cm166ne,1,Dispatched,2021-04-17 20:06:05.606249600,Delivered,2021-04-18 19:12:33.179448800
BRU00000909,Toothbrush 2000,2021-01-21 21:44:33.781452800,55,3,hp160qj,da129qh,1,Dispatched,2021-01-22 05:31:35.207393600,Delivered,2021-01-23 16:21:31.547769200
BRU00000808,Toothbrush 4000,2021-04-03 17:39:08.233513200,30,2,cr04lp,ec1y4sf,1,Dispatched,2021-04-04 00:09:58.622515200,Delivered,2021-04-05 09:11:46.915764000
BRU00004960,Toothbrush 4000,2021-10-13 10:02:13.193234799,21,2,ex169nw,eh104pd,1,Dispatched,2021-10-13 17:18:10.338601599,Delivered,2021-10-14 21:48:36.637213599
BRU00004307,Toothbrush 4000,2021-01-02 17:26:27.404302000,31,6,dn226hr,dy20lw,1,Dispatched,2021-01-03 01:16:42.595886800,Delivered,2021-01-03 23:59:45.459094000
BRU00004864,Toothbrush 2000,2021-06-27 14:09:34.418716000,97,4,bh105he,bs406yx,1,Dispatched,2021-06-27 22:02:37.476619600,Delivered,2021-06-29 04:56:14.513321200
BRU00001686,Toothbrush 2000,2022-01-02 16:35:54.251166000,73,9,eh483ba,e149hb,1,Dispatched,2022-01-02 22:39:05.986028400,Delivered,2022-01-04 03:41:57.119196000
BRU00000782,Toothbrush 4000,2022-05-09 06:53:07.543967600,27,5,eh92pt,bn34jg,1,Dispatched,2022-05-09 14:07:08.154270800,Delivered,2022-05-10 18:57:51.253318400
BRU00005414,Toothbrush 4000,2021-10-03 13:23:24.555446400,14,7,dl21ht,cv100bw,1,Dispatched,2021-10-03 20:59:36.389269200,Delivered,2021-10-04 14:39:11.582376000
BRU00003044,Toothbrush 4000,2021-12-24 12:37:42.348237600,15,1,dn211sz,ca270es,1,Dispatched,2021-12-24 18:56:14.011126800,Delivered,2021-12-25 22:27:00.748281600
BRU00005490,Toothbrush 2000,2021-10-17 09:19:06.375134400,82,9,ip29tb,bh149df,1,Dispatched,2021-10-17 16:41:14.251881600,Delivered,2021-10-18 15:39:10.686183600
BRU00001902,Toothbrush 2000,2022-11-11 22:45:23.067295200,71,9,da118lq,hp201je,1,Dispatched,2022-11-12 05:14:56.524491600,Delivered,2022-11-13 07:39:16.085142000
BRU00001477,Toothbrush 2000,2021-01-26 11:59:43.505251600,87,4,dn13bj,ch24lz,1,Dispatched,2021-01-26 19:57:21.684763600,Delivered,2021-01-28 05:26:16.081628800
BRU00000431,Toothbrush 2000,2021-12-22 03:35:17.113850000,68,9,ba99nu,bs153sn,1,Dispatched,2021-12-22 10:01:04.870961600,Delivered,2021-12-23 16:02:14.502687200
